2022-06-23 08:51:53,018 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:51:53,018 |  INFO | order_book() Pruebas:413 | Precio: 0.05649, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.56, P abajo: 0.64
2022-06-23 08:51:53,023 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:51:53,846 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:51:55,069 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:51:55,069 |  INFO | order_book() Pruebas:413 | Precio: 0.05645, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.63, P abajo: 0.57
2022-06-23 08:51:55,083 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:51:55,868 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:51:56,339 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:51:56,354 |  INFO | order_book() Pruebas:413 | Precio: 0.05646, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.62, P abajo: 0.59
2022-06-23 08:51:56,358 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:51:57,985 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:51:59,204 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:51:59,204 |  INFO | order_book() Pruebas:413 | Precio: 0.05643, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.67, P abajo: 0.53
